平水韵韵部,声调,词林正韵部,潮汕音韵母,此韵母归此韵的字,同读此韵母但不属此韵的字,韵母匹配度
一东,上平,第一部,ang,庞鬃砻,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄…,3/496
一东,上平,第一部,eng,虹冯,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,2/573
一东,上平,第一部,iang,洚,昌倀伥菖猖娼閶阊鯧鲳長长萇苌常徜場场腸肠嘗尝嫦嚐償偿鱨鲿昶敞…,1/262
一东,上平,第一部,iong,䓖崇冢绒穹融螽忠戎种弓宫穷忡翀癃嵩熊隆充菘盅虫衷终艟躬冲丛雄芎中窿狨,沖茺舂衝憧蟲寵宠銃铳蓯苁樅枞從从叢供恭宮龔龚拱珙鞏巩共恐龍龙…,34/184
一东,上平,第一部,ong,胧朦篷红艨铜烔聪翁聋洪懵蒙幪丰倥虹匆攻酆通冯筒童栊桐濛曈同骢蠓箜嵕笼鸿风眬蚣酮珑东僮功梦蓬逢空峒潼咙疯恫崆公侗烘工嗡枫沣芃瞳昽曚讧,盎幫帮膀蚌磅鎊镑甭泵窗囱幢蔥葱聰驄淙琮蕩荡冬東咚氡蝀鼕董懂峝…,65/298
一东,上平,第一部,ou,蒙,煲哺補补布步部埠踄簿愁廚厨觕湊凑腠輳辏粗醋都唗兜篼抖枓陡蚪斗…,1/338
一东,上平,第一部,uam,汎,帆凡釩钒樊礬矾犯氾泛范梵範患,1/15
一东,上平,第一部,uang,僮,牀床噇闖闯方邡坊芳枋鈁钫防妨肪房仿昉倣舫紡纺訪访髣放封風瘋觥…,1/162
二冬,上平,第一部,ang,侬鬃,骯肮昂邦梆浜幫帮綁绑榜膀蚌棒傍蒡稖磅謗谤崩繃绷甏蹦倉仓蒼苍滄…,2/513
二冬,上平,第一部,eng,衡胸,浜奔栟崩繃绷迸煸冰兵丙邴秉柄炳餅饼并併並病噌曾層层蹭嘗尝琤偁…,2/575
二冬,上平,第一部,iong,供榕钟灉镕镛舂佣龙跫筇共珙松重龚从庸容蛩蓉匈邕痈枞墉憧汹溶凶茸雍冲锺壅恭饔颙邛慵淞纵,充沖忡茺翀衝艟崇蟲虫寵宠銃铳蓯苁樅從叢丛弓躬宮宫龔拱鞏巩恐隆…,42/184
